"to","from","points"
"ITA","CHE",10
"ROU","CHE",4
"HUN","CHE",5
"AUS","CHE",0
"NOR","CHE",0
"NLD","CHE",0
"FRA","CHE",2
"HRV","CHE",8
"AZE","CHE",0
"GBR","CHE",0
"AUT","CHE",0
"BLR","CHE",0
"ARM","CHE",0
"GRC","CHE",0
"DNK","CHE",0
"CYP","CHE",0
"POL","CHE",0
"ISR","CHE",0
"UKR","CHE",0
"DEU","CHE",3
"ESP","CHE",0
"PRT","UKR",10
"BGR","UKR",2
"MDA","UKR",12
"BEL","UKR",5
"SWE","UKR",7
"ITA","UKR",0
"ROU","UKR",3
"HUN","UKR",4
"AUS","UKR",0
"NOR","UKR",1
"NLD","UKR",0
"FRA","UKR",6
"HRV","UKR",0
"AZE","UKR",0
"GBR","UKR",0
"AUT","UKR",0
"BLR","UKR",8
"ARM","UKR",0
"GRC","UKR",0
"DNK","UKR",0
"CYP","UKR",0
"POL","UKR",0
"ISR","UKR",0
"UKR","UKR",0
"DEU","UKR",0
"ESP","UKR",0
"PRT","GBR",8
"BGR","GBR",12
"MDA","GBR",6
"BEL","GBR",3
"SWE","GBR",4
"ITA","GBR",2
"ROU","GBR",7
"HUN","GBR",1
"AUS","GBR",0
"NOR","GBR",0
"NLD","GBR",0
"FRA","GBR",0
"HRV","GBR",5
"AZE","GBR",0
"GBR","GBR",0
"AUT","GBR",0
"BLR","GBR",0
"ARM","GBR",0
"GRC","GBR",0
"DNK","GBR",0
"CYP","GBR",0
"POL","GBR",10
"ISR","GBR",0
"UKR","GBR",0
"DEU","GBR",0
"ESP","GBR",0
